url,Artist,Song,Entry,Week entered,Year entered,Week exited,Year exited,Peak,Peak weeks,Weeks,Current
https://acharts.co/song/157759,Blackpink,Lovesick Girls,27,42,20,42,20,27,1,1,-
https://acharts.co/song/157760,"Blackpink,Cardi B",Bet You Wanna,42,42,20,42,20,42,1,1,-
https://acharts.co/song/157907,Cj,Whoopty,41,48,20,14,20,13,2,20,-
https://acharts.co/song/157909,James Arthur,Train Wreck,45,45,20,48,20,45,1,2,-
https://acharts.co/song/158185,"Justin Bieber,Benny Blanco",Lonely,14,44,20,13,20,11,1,10,-
https://acharts.co/song/158186,Glass Animals,Heat Waves,45,51,20,04,20,1,11,159,-
https://acharts.co/song/158419,Ariana Grande,Positions,1,45,20,15,20,1,2,24,-
https://acharts.co/song/158425,Kid Laroi,So Done,20,45,20,31,20,6,2,32,-
https://acharts.co/song/158426,Luke Combs,Forever After All,14,45,20,49,20,14,1,5,-
https://acharts.co/song/158584,"Meduza,Dermot Kennedy",Paradise,48,49,20,20,20,19,1,24,-
https://acharts.co/song/158585,Ariana Grande,34+35,9,46,20,12,20,5,1,20,-
https://acharts.co/song/158586,"Ariana Grande,Doja Cat",Motive,19,46,20,47,20,19,1,2,-
https://acharts.co/song/158616,Ariana Grande,Pov,39,46,20,50,20,29,1,5,-
https://acharts.co/song/158629,"Onefour,Kid Laroi",My City,28,46,20,48,20,28,1,3,-
https://acharts.co/song/158630,"Ariana Grande,The Weeknd",Off The Table,32,46,20,46,20,32,1,1,-
https://acharts.co/song/158631,Ariana Grande,Just Like Magic,40,46,20,46,20,40,1,1,-
https://acharts.co/song/158632,"Ariana Grande,Ty Dolla $ign",Safety Net,42,46,20,46,20,42,1,1,-
https://acharts.co/song/158633,Ariana Grande,Shut Up,45,46,20,46,20,45,1,1,-
https://acharts.co/song/158791,Kid Laroi,Always Do,37,47,20,50,20,34,1,4,-
https://acharts.co/song/158790,Kid Laroi,Without You,9,51,20,25,20,1,1,58,-
https://acharts.co/song/158834,Kid Laroi,Tragic,41,47,20,47,20,41,1,1,-
https://acharts.co/song/158880,Billie Eilish,Therefore I Am,3,48,20,12,20,3,2,18,-
https://acharts.co/song/158955,Lil Nas X,Holiday,44,51,20,03,20,42,1,4,-
https://acharts.co/song/159001,Tones and I,Fly Away,21,48,20,30,20,4,1,29,-
https://acharts.co/song/159135,"Miley Cyrus,Dua Lipa",Prisoner,14,49,20,10,20,13,1,15,-
https://acharts.co/song/159136,"Shawn Mendes,Justin Bieber",Monster,7,49,20,07,20,7,1,12,-
https://acharts.co/song/159144,BTS,Life Goes On,27,49,20,49,20,27,1,1,-
https://acharts.co/song/159148,"Jason DeRulo,Nuka",Love Not War (the Tampa Beat),50,02,21,04,21,49,1,3,-
https://acharts.co/song/159187,Ava Max,My Head & My Heart,47,06,21,20,21,21,1,15,-
https://acharts.co/song/159201,Hooligan Hefs,Send It!,40,49,20,09,20,37,1,12,-
https://acharts.co/song/159359,Jam Mountain Music,Light A Candle,32,50,20,52,20,23,1,3,-
https://acharts.co/song/159626,Taylor Swift,Willow,1,52,20,10,20,1,1,13,-
https://acharts.co/song/159627,Taylor Swift,Champagne Problems,12,52,20,52,20,12,1,1,-
https://acharts.co/song/159628,"Taylor Swift,Haim",No Body No Crime,16,52,20,52,20,16,1,1,-
https://acharts.co/song/159652,Taylor Swift,Gold Rush,21,52,20,52,20,21,1,1,-
https://acharts.co/song/159658,Taylor Swift,‘tis The Damn Season,24,52,20,52,20,24,1,1,-
https://acharts.co/song/159659,Taylor Swift,Tolerate It,33,52,20,52,20,33,1,1,-
https://acharts.co/song/159660,Taylor Swift,Happiness,37,52,20,52,20,37,1,1,-
https://acharts.co/song/159661,"Taylor Swift,The National",Coney Island,42,52,20,52,20,42,1,1,-
https://acharts.co/song/159662,Taylor Swift,Ivy,43,52,20,52,20,43,1,1,-
